id,name,description,short_description,category,sub_category,grade,star,sprite,sprite_product,order,enchant_level,enchant_point,max_stack,option,option_client_only,price,sell_price,cash,ladder_point,boss_point,crusade_point,arena_point,worth,disabled,buff,set_id,item_info,model,hero_limit,model_level,max_socket,level_limit,rank_limit,hero_grade_limit,hero_level_limit,invasion_point
@dae_rae_dong_ju,대래동주의 호패,대래동주의 호패,,hero_token,tank,trash,,hero_dae_rae_dong_ju,,,,,999,,,1000,100,10,1,1,5,,1000,,,,,,,,,,,,,
@do_gyeom,도겸의 호패,도겸의 호패,,hero_token,wizard,normal,,hero_do_gyeom,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@dong_do_na,동도나의 호패,동도나의 호패,,hero_token,tank,trash,,hero_dong_do_na,,,,,999,,,1000,100,10,1,1,5,,1000,,,,,,,,,,,,,
@dong_min,동민의 호패,동민의 호패,,hero_token,rogue,trash,,hero_dong_min,,,,,999,,,1000,100,10,1,1,5,,1000,,,,,,,,,,,,,
@dong_yun,동윤의 호패,동윤의 호패,,hero_token,wizard,magic,,hero_dong_yun,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@dong_tak,동탁의 호패,동탁의 호패,,hero_token,paladin,unique,,hero_dong_tak,,,,,999,,,25000,2500,250,5,25,120,,25000,,,,,,,,,,,,,
@dong_hwa,동화의 호패,동화의 호패,,hero_token,wizard,normal,,hero_dong_hwa,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@deung_ae,등애의 호패,등애의 호패,,hero_token,rogue,rare,,hero_deung_ae,,,,,999,,,35000,3500,100,3,10,48,,35000,,,,,,,,,,,,,
@deung_ji,등지의 호패,등지의 호패,,hero_token,wizard,normal,,hero_deung_ji,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@ma_dae,마대의 호패,마대의 호패,,hero_token,tank,rare,,hero_ma_dae,,,,,999,,,35000,3500,100,3,10,48,,35000,,,,,,,,,,,,,
@ma_deung,마등의 호패,마등의 호패,,hero_token,rogue,normal,,hero_ma_deung,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@ma_ryang,마량의 호패,마량의 호패,,hero_token,wizard,magic,,hero_ma_ryang,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@ma_sok,마속의 호패,마속의 호패,,hero_token,ranger,magic,,hero_ma_sok,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@ma_cho,마초의 호패,마초의 호패,,hero_token,rogue,hero,,hero_ma_cho,,,,,999,,,50000,5000,500,10,50,240,,50000,,,,,,,,,,,,,
@man_chong,만총의 호패,만총의 호패,,hero_token,rogue,rare,,hero_man_chong,,,,,999,,,100000,10000,140,3,10,48,,100000,,,,,,,,,,,,,
@mang_a_jang,망아장의 호패,망아장의 호패,,hero_token,tank,normal,,hero_mang_a_jang,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@maeng_dal,맹달의 호패,맹달의 호패,,hero_token,ranger,rare,,hero_maeng_dal,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@maeng_u,맹우의 호패,맹우의 호패,,hero_token,ranger,trash,,hero_maeng_u,,,,,999,,,1000,100,10,1,1,5,,1000,,,,,,,,,,,,,
@maeng_hoek,맹획의 호패,맹획의 호패,,hero_token,paladin,legend,,hero_maeng_hoek,,,,,999,,,500000,50000,5000,200,500,2400,,500000,,,,,,,,,,,,,
@mok_rok_dae_wang,목록대왕의 호패,목록대왕의 호패,,hero_token,rogue,trash,,hero_mok_rok_dae_wang,,,,,999,,,1000,100,10,1,1,5,,1000,,,,,,,,,,,,,
@mu_an_guk,무안국의 호패,무안국의 호패,,hero_token,tank,magic,,hero_mu_an_guk,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@mun_bing,문빙의 호패,문빙의 호패,,hero_token,rogue,rare,,hero_mun_bing,,,,,999,,,35000,3500,100,3,10,48,,35000,,,,,,,,,,,,,
@mun_ang,문앙의 호패,문앙의 호패,,hero_token,rogue,unique,,hero_mun_ang,,,,,999,,,25000,2500,250,5,25,120,,25000,,,,,,,,,,,,,
@mun_chu,문추의 호패,문추의 호패,,hero_token,tank,unique,,hero_mun_chu,,,,,999,,,25000,2500,250,5,25,120,,25000,,,,,,,,,,,,,
@mi_bang,미방의 호패,미방의 호패,,hero_token,wizard,trash,,hero_mi_bang,,,,,999,,,1000,100,10,1,1,5,,1000,,,,,,,,,,,,,
@mi_chuk,미축의 호패,미축의 호패,,hero_token,wizard,normal,,hero_mi_chuk,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@ban_bong,반봉의 호패,반봉의 호패,,hero_token,rogue,normal,,hero_ban_bong,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@ban_jang,반장의 호패,반장의 호패,,hero_token,tank,rare,,hero_ban_jang,,,,,999,,,35000,3500,100,3,10,48,,35000,,,,,,,,,,,,,
@bang_deok,방덕의 호패,방덕의 호패,,hero_token,tank,rare,,hero_bang_deok,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@bang_tong,방통의 호패,방통의 호패,,hero_token,wizard,unique,,hero_bang_tong,,,,,999,,,100000,10000,140,5,25,120,,100000,,,,,,,,,,,,,
@bae_won_so,배원소의 호패,배원소의 호패,,hero_token,rogue,trash,,hero_bae_won_so,,,,,999,,,1000,100,10,1,1,5,,1000,,,,,,,,,,,,,
@beop_jeong,법정의 호패,법정의 호패,,hero_token,wizard,unique,,hero_beop_jeong,,,,,999,,,100000,10000,140,5,25,120,,100000,,,,,,,,,,,,,
@bo_jeul,보즐의 호패,보즐의 호패,,hero_token,wizard,normal,,hero_bo_jeul,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@bu_sa_in,부사인의 호패,부사인의 호패,,hero_token,rogue,trash,,hero_bu_sa_in,,,,,999,,,1000,100,10,1,1,5,,1000,,,,,,,,,,,,,
@bi_ui,비의의 호패,비의의 호패,,hero_token,wizard,magic,,hero_bi_ui,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@sa_ma_ga,사마가의 호패,사마가의 호패,,hero_token,tank,magic,,hero_sa_ma_ga,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@sa_ma_sa,사마사의 호패,사마사의 호패,,hero_token,paladin,unique,,hero_sa_ma_sa,,,,,999,,,25000,2500,250,5,25,120,,25000,,,,,,,,,,,,,
@sa_ma_so,사마소의 호패,사마소의 호패,,hero_token,paladin,magic,,hero_sa_ma_so,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@sa_ma_yeom,사마염의 호패,사마염의 호패,,hero_token,paladin,magic,,hero_sa_ma_yeom,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@sa_ma_ui,사마의의 호패,사마의의 호패,,hero_token,wizard,hero,,hero_sa_ma_ui,,,,,999,,,50000,5000,500,10,50,240,,50000,,,,,,,,,,,,,
@sang_chong,상총의 호패,상총의 호패,,hero_token,rogue,trash,,hero_sang_chong,,,,,999,,,1000,100,10,1,1,5,,1000,,,,,,,,,,,,,
@seo_seo,서서의 호패,서서의 호패,,hero_token,wizard,rare,,hero_seo_seo,,,,,999,,,35000,3500,100,3,10,48,,35000,,,,,,,,,,,,,
@seo_seong,서성의 호패,서성의 호패,,hero_token,tank,magic,,hero_seo_seong,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@seo_hwang,서황의 호패,서황의 호패,,hero_token,tank,rare,,hero_seo_hwang,,,,,999,,,35000,3500,100,3,10,48,,35000,,,,,,,,,,,,,
@so_gyo,소교의 호패,소교의 호패,,hero_token,wizard,rare,,hero_so_gyo,,,,,999,,,35000,3500,100,3,10,48,,35000,,,,,,,,,,,,,
@son_geon,손건의 호패,손건의 호패,,hero_token,wizard,normal,,hero_son_geon,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@son_gyeon,손견의 호패,손견의 호패,,hero_token,tank,hero,,hero_son_gyeon,,,,,999,,,50000,5000,500,10,50,240,,50000,,,,,,,,,,,,,
@son_gwon,손권의 호패,손권의 호패,,hero_token,paladin,hero,,hero_son_gwon,,,,,999,,,50000,5000,500,10,50,240,,50000,,,,,,,,,,,,,
@son_deung,손등의 호패,손등의 호패,,hero_token,paladin,magic,,hero_son_deung,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@son_sang_hyang,손상향의 호패,손상향의 호패,,hero_token,wizard,magic,,hero_son_sang_hyang,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@son_chaek,손책의 호패,손책의 호패,,hero_token,rogue,hero,,hero_son_chaek,,,,,999,,,50000,5000,500,10,50,240,,50000,,,,,,,,,,,,,
@song_heon,송헌의 호패,송헌의 호패,,hero_token,tank,normal,,hero_song_heon,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@sun_u_gyeong,순우경의 호패,순우경의 호패,,hero_token,tank,normal,,hero_sun_u_gyeong,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@sun_uk,순욱의 호패,순욱의 호패,,hero_token,wizard,unique,,hero_sun_uk,,,,,999,,,100000,10000,140,5,25,120,,100000,,,,,,,,,,,,,
@sun_yu,순유의 호패,순유의 호패,,hero_token,wizard,rare,,hero_sun_yu,,,,,999,,,35000,3500,100,3,10,48,,35000,,,,,,,,,,,,,
@sin_bi,신비의 호패,신비의 호패,,hero_token,wizard,normal,,hero_sin_bi,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@sin_heon_yeong,신헌영의 호패,신헌영의 호패,,hero_token,wizard,magic,,hero_sin_heon_yeong,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@sim_bae,심배의 호패,심배의 호패,,hero_token,wizard,magic,,hero_sim_bae,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@a_hoe_nam,아회남의 호패,아회남의 호패,,hero_token,rogue,normal,,hero_a_hoe_nam,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@ak_jin,악진의 호패,악진의 호패,,hero_token,tank,rare,,hero_ak_jin,,,,,999,,,35000,3500,100,3,10,48,,35000,,,,,,,,,,,,,
@an_ryang,안량의 호패,안량의 호패,,hero_token,rogue,hero,,hero_an_ryang,,,,,999,,,50000,5000,500,10,50,240,,50000,,,,,,,,,,,,,
@yang_bu,양부의 호패,양부의 호패,,hero_token,wizard,normal,,hero_yang_bu,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@yang_su,양수의 호패,양수의 호패,,hero_token,wizard,magic,,hero_yang_su,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@yang_ho,양호의 호패,양호의 호패,,hero_token,ranger,rare,,hero_yang_ho,,,,,999,,,35000,3500,100,3,10,48,,35000,,,,,,,,,,,,,
@eom_baek_ho,엄백호의 호패,엄백호의 호패,,hero_token,rogue,trash,,hero_eom_baek_ho,,,,,999,,,1000,100,10,1,1,5,,1000,,,,,,,,,,,,,
@eom_an,엄안의 호패,엄안의 호패,,hero_token,ranger,rare,,hero_eom_an,,,,,999,,,35000,3500,100,3,10,48,,35000,,,,,,,,,,,,,
@yeo_dae,여대의 호패,여대의 호패,,hero_token,rogue,normal,,hero_yeo_dae,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@yeo_mong,여몽의 호패,여몽의 호패,,hero_token,rogue,unique,,hero_yeo_mong,,,,,999,,,25000,2500,250,5,25,120,,25000,,,,,,,,,,,,,
@yeo_po,여포의 호패,여포의 호패,,hero_token,tank,legend,,hero_yeo_po,,,,,999,,,500000,50000,5000,200,500,2400,,500000,,,,,,,,,,,,,
@ol_dol_gol,올돌골의 호패,올돌골의 호패,,hero_token,rogue,magic,,hero_ol_dol_gol,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@wang_rang,왕랑의 호패,왕랑의 호패,,hero_token,tank,trash,,hero_wang_rang,,,,,999,,,1000,100,10,1,1,5,,1000,,,,,,,,,,,,,
@wang_reung,왕릉의 호패,왕릉의 호패,,hero_token,rogue,trash,,hero_wang_reung,,,,,999,,,1000,100,10,1,1,5,,1000,,,,,,,,,,,,,
@wang_ssang,왕쌍의 호패,왕쌍의 호패,,hero_token,tank,trash,,hero_wang_ssang,,,,,999,,,1000,100,10,1,1,5,,1000,,,,,,,,,,,,,
@wang_yun,왕윤의 호패,왕윤의 호패,,hero_token,wizard,normal,,hero_wang_yun,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@wang_pyeong,왕평의 호패,왕평의 호패,,hero_token,rogue,rare,,hero_wang_pyeong,,,,,999,,,35000,3500,100,3,10,48,,35000,,,,,,,,,,,,,
@yo_hwa,요화의 호패,요화의 호패,,hero_token,rogue,normal,,hero_yo_hwa,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@u_geum,우금의 호패,우금의 호패,,hero_token,tank,magic,,hero_u_geum,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@u_beon,우번의 호패,우번의 호패,,hero_token,wizard,trash,,hero_u_beon,,,,,999,,,1000,100,10,1,1,5,,1000,,,,,,,,,,,,,
@won_sang,원상의 호패,원상의 호패,,hero_token,paladin,normal,,hero_won_sang,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@won_so,원소의 호패,원소의 호패,,hero_token,paladin,rare,,hero_won_so,,,,,999,,,35000,3500,100,3,10,48,,35000,,,,,,,,,,,,,
@won_sul,원술의 호패,원술의 호패,,hero_token,paladin,magic,,hero_won_sul,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@won_hui,원희의 호패,원희의 호패,,hero_token,rogue,trash,,hero_won_hui,,,,,999,,,1000,100,10,1,1,5,,1000,,,,,,,,,,,,,
@wi_yeon,위연의 호패,위연의 호패,,hero_token,tank,unique,,hero_wi_yeon,,,,,999,,,25000,2500,250,5,25,120,,25000,,,,,,,,,,,,,
@yu_bong,유봉의 호패,유봉의 호패,,hero_token,rogue,normal,,hero_yu_bong,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@yu_bi,유비의 호패,유비의 호패,,hero_token,paladin,hero,,hero_yu_bi,,,,,999,,,50000,5000,500,10,50,240,,50000,,,,,,,,,,,,,
@yu_seon,유선의 호패,유선의 호패,,hero_token,paladin,trash,,hero_yu_seon,,,,,999,,,1000,100,10,1,1,5,,1000,,,,,,,,,,,,,
@yu_eon,유언의 호패,유언의 호패,,hero_token,wizard,normal,,hero_yu_eon,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@yu_u,유우의 호패,유우의 호패,,hero_token,ranger,trash,,hero_yu_u,,,,,999,,,1000,100,10,1,1,5,,1000,,,,,,,,,,,,,
@yu_jang,유장의 호패,유장의 호패,,hero_token,wizard,trash,,hero_yu_jang,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@yu_pyo,유표의 호패,유표의 호패,,hero_token,wizard,normal,,hero_yu_pyo,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@yuk_son,육손의 호패,육손의 호패,,hero_token,ranger,hero,,hero_yuk_son,,,,,999,,,645000,64500,100,10,50,240,,645000,,,,,,,,,,,,,
@yuk_hang,육항의 호패,육항의 호패,,hero_token,rogue,rare,,hero_yuk_hang,,,,,999,,,100000,10000,140,3,10,48,,100000,,,,,,,,,,,,,
@i_gak,이각의 호패,이각의 호패,,hero_token,rogue,trash,,hero_i_gak,,,,,999,,,1000,100,10,1,1,5,,1000,,,,,,,,,,,,,
@i_eom,이엄의 호패,이엄의 호패,,hero_token,rogue,magic,,hero_i_eom,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@i_yu,이유의 호패,이유의 호패,,hero_token,wizard,rare,,hero_i_yu,,,,,999,,,35000,3500,100,3,10,48,,35000,,,,,,,,,,,,,
@i_jeon,이전의 호패,이전의 호패,,hero_token,rogue,magic,,hero_i_jeon,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@jang_gak,장각의 호패,장각의 호패,,hero_token,paladin,unique,,hero_jang_gak,,,,,999,,,25000,2500,250,5,25,120,,25000,,,,,,,,,,,,,
@jang_goeng,장굉의 호패,장굉의 호패,,hero_token,wizard,normal,,hero_jang_goeng,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@jang_ryang,장량의 호패,장량의 호패,,hero_token,tank,magic,,hero_jang_ryang,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@jang_ro,장로의 호패,장로의 호패,,hero_token,paladin,magic,,hero_jang_ro,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@jang_ryo,장료의 호패,장료의 호패,,hero_token,rogue,legend,,hero_jang_ryo,,,,,999,,,500000,50000,5000,200,500,2400,,500000,,,,,,,,,,,,,
@jang_bo,장보의 호패,장보의 호패,,hero_token,ranger,magic,,hero_jang_bo,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@jang_bi,장비의 호패,장비의 호패,,hero_token,tank,hero,,hero_jang_bi,,,,,999,,,50000,5000,500,10,50,240,,50000,,,,,,,,,,,,,
@jang_so,장소의 호패,장소의 호패,,hero_token,wizard,magic,,hero_jang_so,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@jang_song,장송의 호패,장송의 호패,,hero_token,wizard,normal,,hero_jang_song,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@jang_su,장수의 호패,장수의 호패,,hero_token,tank,magic,,hero_jang_su,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@jang_wan,장완의 호패,장완의 호패,,hero_token,wizard,magic,,hero_jang_wan,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@jang_ik,장익의 호패,장익의 호패,,hero_token,rogue,normal,,hero_jang_ik,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@jang_po,장포의 호패,장포의 호패,,hero_token,tank,magic,,hero_jang_po,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@jang_hap,장합의 호패,장합의 호패,,hero_token,tank,unique,,hero_jang_hap,,,,,999,,,25000,2500,250,5,25,120,,25000,,,,,,,,,,,,,
@jeo_su,저수의 호패,저수의 호패,,hero_token,wizard,magic,,hero_jeo_su,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@jeon_ye,전예의 호패,전예의 호패,,hero_token,ranger,magic,,hero_jeon_ye,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@jeon_wi,전위의 호패,전위의 호패,,hero_token,tank,unique,,hero_jeon_wi,,,,,999,,,25000,2500,250,5,25,120,,25000,,,,,,,,,,,,,
@jeon_pung,전풍의 호패,전풍의 호패,,hero_token,wizard,unique,,hero_jeon_pung,,,,,999,,,25000,2500,250,5,25,120,,25000,,,,,,,,,,,,,
@jeon_hae,전해의 호패,전해의 호패,,hero_token,rogue,trash,,hero_jeon_hae,,,,,999,,,1000,100,10,1,1,5,,1000,,,,,,,,,,,,,
@jeong_bo,정보의 호패,정보의 호패,,hero_token,rogue,magic,,hero_jeong_bo,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@jeong_bong,정봉의 호패,정봉의 호패,,hero_token,tank,magic,,hero_jeong_bong,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@jeong_uk,정욱의 호패,정욱의 호패,,hero_token,wizard,rare,,hero_jeong_uk,,,,,999,,,35000,3500,100,3,10,48,,35000,,,,,,,,,,,,,
@jeong_won_ji,정원지의 호패,정원지의 호패,,hero_token,tank,magic,,hero_jeong_won_ji,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@je_gal_gak,제갈각의 호패,제갈각의 호패,,hero_token,wizard,normal,,hero_je_gal_gak,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@je_gal_geun,제갈근의 호패,제갈근의 호패,,hero_token,wizard,rare,,hero_je_gal_geun,,,,,999,,,35000,3500,100,3,10,48,,35000,,,,,,,,,,,,,
@je_gal_ryang,제갈량의 호패,제갈량의 호패,,hero_token,wizard,hero,,hero_je_gal_ryang,,,,,999,,,50000,5000,500,10,50,240,,50000,,,,,,,,,,,,,
@je_gal_tan,제갈탄의 호패,제갈탄의 호패,,hero_token,wizard,normal,,hero_je_gal_tan,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@jo_mu,조무의 호패,조무의 호패,,hero_token,tank,magic,,hero_jo_mu,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@jo_bi,조비의 호패,조비의 호패,,hero_token,paladin,rare,,hero_jo_bi,,,,,999,,,35000,3500,100,3,10,48,,35000,,,,,,,,,,,,,
@jo_sik,조식의 호패,조식의 호패,,hero_token,wizard,magic,,hero_jo_sik,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@jo_un,조운의 호패,조운의 호패,,hero_token,rogue,hero,,hero_jo_un,,,,,999,,,500000,50000,5000,200,500,2400,,500000,,,,,,,,,,,,,
@jo_in,조인의 호패,조인의 호패,,hero_token,ranger,rare,,hero_jo_in,,,,,999,,,10000,1000,100,3,10,48,,10000,,,,,,,,,,,,,
@jo_jo,조조의 호패,조조의 호패,,hero_token,paladin,hero,,hero_jo_jo,,,,,999,,,50000,5000,500,10,50,240,,50000,,,,,,,,,,,,,
@jo_jin,조진의 호패,조진의 호패,,hero_token,ranger,magic,,hero_jo_jin,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@jo_chang,조창의 호패,조창의 호패,,hero_token,rogue,magic,,hero_jo_chang,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@jo_hong,조홍의 호패,조홍의 호패,,hero_token,rogue,normal,,hero_jo_hong,,,,,999,,,2500,250,25,1,2,12,,2500,,,,,,,,,,,,,
@jong_yo,종요의 호패,종요의 호패,,hero_token,wizard,trash,,hero_jong_yo,,,,,999,,,1000,100,10,1,1,5,,1000,,,,,,,,,,,,,
@jong_hoe,종회의 호패,종회의 호패,,hero_token,rogue,magic,,hero_jong_hoe,,,,,999,,,5000,500,50,1,5,24,,5000,,,,,,,,,,,,,
@ju_yu,주유의 호패,주유의 호패,,hero_token,wizard,hero,,hero_ju_yu,,,,,999,,,50000,5000,500,10,50,240,,50000,,,,,,,,,,,,,
