id,parent,order,level,counter,condition,reward kingdom_point,reward exp,reward gold,reward cash,reward food,reward ladder_point,reward boss_point,reward crusade_point,reward items,google,google progress,gamecenter,option
!level-up-10,level-up,10,2,50,level-up,500,,,50,,,,,,CgkI2ZO3uPMQEAIQDQ,0.8,,
!level-up-11,level-up,11,2,55,level-up,550,,,50,,,,,,CgkI2ZO3uPMQEAIQDQ,0.9,,
!level-up-12,level-up,12,2,60,level-up,600,,,50,,,,,,CgkI2ZO3uPMQEAIQDQ,1,level60,
!level-up-13,level-up,13,2,65,level-up,650,,,50,,,,,,,,,
!level-up-14,level-up,14,2,70,level-up,700,,,50,,,,,,,,,
!level-up-15,level-up,15,2,75,level-up,750,,,50,,,,,,,,,
!level-up-16,level-up,16,2,80,level-up,800,,,50,,,,,,,,,
!level-up-17,level-up,17,2,85,level-up,850,,,300,,,,,,,,,
!level-up-18,level-up,18,2,90,level-up,900,,,300,,,,,,,,,
!level-up-19,level-up,19,2,95,level-up,950,,,300,,,,,,,,,
!level-up-20,level-up,20,2,99,level-up,990,,,300,,,,,,,,,
!level-gold-1,level-gold,1,3,3,level-up,3,,,,,,,,toad_bronze_1 1,,,,
!level-gold-2,level-gold,2,3,6,level-up,6,,,,,,,,toad_bronze_3 1,,,,
!level-gold-3,level-gold,3,3,9,level-up,9,,,,,,,,toad_silver_5 1,,,,
!level-gold-4,level-gold,4,3,13,level-up,13,,,,,,,,toad_bronze_1 1,,,,
!level-gold-5,level-gold,5,3,16,level-up,16,,,,,,,,toad_bronze_3 1,,,,
!level-gold-6,level-gold,6,3,19,level-up,19,,,,,,,,toad_silver_5 1,,,,
!level-gold-7,level-gold,7,3,23,level-up,23,,,,,,,,toad_bronze_1 1,,,,
!level-gold-8,level-gold,8,3,26,level-up,26,,,,,,,,toad_bronze_3 1,,,,
!level-gold-9,level-gold,9,3,29,level-up,29,,,,,,,,toad_silver_5 1,,,,
!level-gold-10,level-gold,10,3,33,level-up,33,,,,,,,,toad_bronze_1 1,,,,
!level-gold-11,level-gold,11,3,36,level-up,36,,,,,,,,toad_bronze_3 1,,,,
!level-gold-12,level-gold,12,3,39,level-up,39,,,,,,,,toad_silver_5 1,,,,
!level-gold-13,level-gold,13,3,43,level-up,43,,,,,,,,toad_bronze_1 1,,,,
!level-gold-14,level-gold,14,3,46,level-up,46,,,,,,,,toad_bronze_3 1,,,,
!level-gold-15,level-gold,15,3,49,level-up,49,,,,,,,,toad_silver_5 1,,,,
!level-gold-16,level-gold,16,3,53,level-up,53,,,,,,,,toad_bronze_1 1,,,,
!level-gold-17,level-gold,17,3,56,level-up,56,,,,,,,,toad_bronze_3 1,,,,
!level-gold-18,level-gold,18,3,59,level-up,59,,,,,,,,toad_silver_5 1,,,,
!level-gold-19,level-gold,19,3,63,level-up,63,,,,,,,,toad_bronze_1 1,,,,
!level-gold-20,level-gold,20,3,66,level-up,66,,,,,,,,toad_bronze_3 1,,,,
!level-gold-21,level-gold,21,3,69,level-up,69,,,,,,,,toad_silver_5 1,,,,
!level-gold-22,level-gold,22,3,73,level-up,73,,,,,,,,toad_bronze_1 1,,,,
!level-gold-23,level-gold,23,3,76,level-up,76,,,,,,,,toad_bronze_3 1,,,,
!level-gold-24,level-gold,24,3,79,level-up,79,,,,,,,,toad_silver_5 1,,,,
!level-gold-25,level-gold,25,3,83,level-up,83,,,,,,,,toad_silver_7 1,,,,
!level-gold-26,level-gold,26,3,86,level-up,86,,,,,,,,toad_silver_7 1,,,,
!level-gold-27,level-gold,27,3,89,level-up,89,,,,,,,,toad_silver_7 1,,,,
!level-gold-28,level-gold,28,3,93,level-up,93,,,,,,,,toad_gold_10 1,,,,
!level-gold-29,level-gold,29,3,96,level-up,96,,,,,,,,toad_gold_10 1,,,,
!level-gold-30,level-gold,30,3,99,level-up,99,,,,,,,,toad_gold_10 1,,,,
!win-campaign-1,win-campaign,1,3,30,win-campaign,10,,,10,,,,,,,,,
!win-campaign-2,win-campaign,2,3,50,win-campaign,20,,,10,,,,,,,,,
!win-campaign-3,win-campaign,3,3,100,win-campaign,30,,,10,,,,,,,,,
!win-campaign-4,win-campaign,4,3,250,win-campaign,40,,,10,,,,,,,,,
!win-campaign-5,win-campaign,5,3,500,win-campaign,50,,,10,,,,,,,,,
!win-campaign-6,win-campaign,6,3,750,win-campaign,60,,,10,,,,,,,,,
!win-campaign-7,win-campaign,7,3,1000,win-campaign,70,,,10,,,,,,,,,
!win-campaign-8,win-campaign,8,3,1500,win-campaign,80,,,10,,,,,,,,,
!win-campaign-9,win-campaign,9,3,2000,win-campaign,90,,,10,,,,,,,,,
!win-campaign-10,win-campaign,10,3,2500,win-campaign,100,,,10,,,,,,,,,
!win-campaign-11,win-campaign,11,3,3000,win-campaign,110,,,10,,,,,,,,,
!win-campaign-12,win-campaign,12,3,3500,win-campaign,120,,,10,,,,,,,,,
!win-campaign-13,win-campaign,13,3,4000,win-campaign,130,,,10,,,,,,,,,
!win-campaign-14,win-campaign,14,3,4500,win-campaign,140,,,10,,,,,,,,,
!win-campaign-15,win-campaign,15,3,5000,win-campaign,150,,,10,,,,,,,,,
!win-campaign-16,win-campaign,16,3,5500,win-campaign,160,,,10,,,,,,,,,
!win-campaign-17,win-campaign,17,3,6000,win-campaign,170,,,10,,,,,,,,,
!win-campaign-18,win-campaign,18,3,6500,win-campaign,180,,,10,,,,,,,,,
!win-campaign-19,win-campaign,19,3,7000,win-campaign,190,,,10,,,,,,,,,
!win-campaign-20,win-campaign,20,3,7500,win-campaign,200,,,10,,,,,,,,,
!win-campaign-21,win-campaign,21,3,8000,win-campaign,210,,,10,,,,,,,,,
!win-campaign-22,win-campaign,22,3,8500,win-campaign,220,,,10,,,,,,,,,
!win-campaign-23,win-campaign,23,3,9000,win-campaign,230,,,10,,,,,,,,,
!win-campaign-24,win-campaign,24,3,9500,win-campaign,240,,,10,,,,,,,,,
!win-campaign-25,win-campaign,25,3,10000,win-campaign,250,,,10,,,,,,,,,
!win-campaign-26,win-campaign,26,3,12000,win-campaign,260,,,20,,,,,,,,,
!win-campaign-27,win-campaign,27,3,14000,win-campaign,270,,,20,,,,,,,,,
!win-campaign-28,win-campaign,28,3,16000,win-campaign,280,,,20,,,,,,,,,
!win-campaign-29,win-campaign,29,3,18000,win-campaign,290,,,20,,,,,,,,,
!win-campaign-30,win-campaign,30,3,20000,win-campaign,300,,,20,,,,,,,,,
!win-campaign-31,win-campaign,31,3,22000,win-campaign,310,,,20,,,,,,,,,
!win-campaign-32,win-campaign,32,3,24000,win-campaign,320,,,20,,,,,,,,,
!win-campaign-33,win-campaign,33,3,26000,win-campaign,330,,,20,,,,,,,,,
!win-campaign-34,win-campaign,34,3,28000,win-campaign,340,,,20,,,,,,,,,
!win-campaign-35,win-campaign,35,3,30000,win-campaign,350,,,20,,,,,,,,,
!win-campaign-36,win-campaign,36,3,35000,win-campaign,360,,,50,,,,,,,,,
!win-campaign-37,win-campaign,37,3,40000,win-campaign,370,,,50,,,,,,,,,
!win-campaign-38,win-campaign,38,3,45000,win-campaign,380,,,50,,,,,,,,,
!win-campaign-39,win-campaign,39,3,50000,win-campaign,390,,,50,,,,,,,,,
!win-campaign-40,win-campaign,40,3,55000,win-campaign,400,,,50,,,,,,,,,
!win-campaign-41,win-campaign,41,3,60000,win-campaign,410,,,50,,,,,,,,,
!win-campaign-42,win-campaign,42,3,65000,win-campaign,420,,,50,,,,,,,,,
!win-campaign-43,win-campaign,43,3,70000,win-campaign,430,,,50,,,,,,,,,
!win-campaign-44,win-campaign,44,3,75000,win-campaign,440,,,50,,,,,,,,,
!win-campaign-45,win-campaign,45,3,80000,win-campaign,450,,,50,,,,,,,,,
!win-campaign-46,win-campaign,46,3,85000,win-campaign,460,,,50,,,,,,,,,
!win-campaign-47,win-campaign,47,3,90000,win-campaign,470,,,50,,,,,,,,,
!win-campaign-48,win-campaign,48,3,95000,win-campaign,480,,,50,,,,,,,,,
!win-campaign-49,win-campaign,49,3,100000,win-campaign,490,,,50,,,,,,,,,
!win-rebel-1,win-rebel,1,10,1,win-rebel,10,,,10,,,,,,,0,,
!win-rebel-2,win-rebel,2,10,5,win-rebel,20,,,10,,,,,,,0,,
!win-rebel-3,win-rebel,3,10,10,win-rebel,30,,,10,,,,,,,0,,
!win-rebel-4,win-rebel,4,10,25,win-rebel,40,,,10,,,,,,,0,,
!win-rebel-5,win-rebel,5,10,50,win-rebel,50,,,10,,,,,,,0.1,,
!win-rebel-6,win-rebel,6,10,100,win-rebel,60,,,10,,,,,,,0.1,rebel100,
!win-rebel-7,win-rebel,7,10,200,win-rebel,70,,,10,,,,,,,0.4,,
!win-rebel-8,win-rebel,8,10,300,win-rebel,80,,,10,,,,,,,0.6,,
!win-rebel-9,win-rebel,9,10,400,win-rebel,90,,,10,,,,,,,0.8,,
!win-rebel-10,win-rebel,10,10,500,win-rebel,100,,,10,,,,,,,1,,
!win-rebel-11,win-rebel,11,10,600,win-rebel,110,,,10,,,,,,,1,,
!win-rebel-12,win-rebel,12,10,700,win-rebel,120,,,10,,,,,,,1,,
!win-rebel-13,win-rebel,13,10,800,win-rebel,130,,,10,,,,,,,1,,
!win-rebel-14,win-rebel,14,10,900,win-rebel,140,,,10,,,,,,,1,,
!win-rebel-15,win-rebel,15,10,1000,win-rebel,150,,,10,,,,,,,1,,
!negotiate-rebel-1,negotiate-rebel,1,10,1,negotiate-rebel,10,,,10,,,,,,,,,
!negotiate-rebel-2,negotiate-rebel,2,10,5,negotiate-rebel,20,,,10,,,,,,,,,
!negotiate-rebel-3,negotiate-rebel,3,10,10,negotiate-rebel,30,,,10,,,,,,,,,
!negotiate-rebel-4,negotiate-rebel,4,10,25,negotiate-rebel,40,,,10,,,,,,,,,
!negotiate-rebel-5,negotiate-rebel,5,10,50,negotiate-rebel,50,,,10,,,,,,,,,
!negotiate-rebel-6,negotiate-rebel,6,10,100,negotiate-rebel,60,,,10,,,,,,CgkI2ZO3uPMQEAIQEg,,,
!negotiate-rebel-7,negotiate-rebel,7,10,200,negotiate-rebel,70,,,10,,,,,,,,,
!negotiate-rebel-8,negotiate-rebel,8,10,300,negotiate-rebel,80,,,10,,,,,,,,,
!negotiate-rebel-9,negotiate-rebel,9,10,400,negotiate-rebel,90,,,10,,,,,,,,,
!negotiate-rebel-10,negotiate-rebel,10,10,500,negotiate-rebel,100,,,10,,,,,,,,,
!negotiate-rebel-11,negotiate-rebel,11,10,600,negotiate-rebel,110,,,10,,,,,,,,,
!negotiate-rebel-12,negotiate-rebel,12,10,700,negotiate-rebel,120,,,10,,,,,,,,,
!negotiate-rebel-13,negotiate-rebel,13,10,800,negotiate-rebel,130,,,10,,,,,,,,,
!negotiate-rebel-14,negotiate-rebel,14,10,900,negotiate-rebel,140,,,10,,,,,,,,,
!negotiate-rebel-15,negotiate-rebel,15,10,1000,negotiate-rebel,150,,,10,,,,,,,,,
!governor-1,governor,1,10,1,governor,10,,,10,,,,,,,0.1,,
!governor-2,governor,2,10,5,governor,20,,,10,,,,,,,0.25,,
!governor-3,governor,3,10,10,governor,30,,,10,,,,,,,0.5,,
!governor-4,governor,4,10,15,governor,40,,,10,,,,,,,0.75,,
!governor-5,governor,5,10,20,governor,50,,,10,,,,,,,1,governor20,
!governor-6,governor,6,10,25,governor,60,,,10,,,,,,,1,,
!win-arena-1,win-arena,1,15,10,win-arena,10,,,10,,,,,,,,,
!win-arena-2,win-arena,2,15,50,win-arena,20,,,10,,,,,,,,,
!win-arena-3,win-arena,3,15,100,win-arena,30,,,10,,,,,,,,,
!win-arena-4,win-arena,4,15,250,win-arena,40,,,10,,,,,,,,,
!win-arena-5,win-arena,5,15,500,win-arena,50,,,10,,,,,,,,,
!win-arena-6,win-arena,6,15,750,win-arena,60,,,10,,,,,,,,,
!win-arena-7,win-arena,7,15,1000,win-arena,70,,,10,,,,,,,,,
!win-arena-8,win-arena,8,15,1500,win-arena,80,,,10,,,,,,,,,
!win-arena-9,win-arena,9,15,2000,win-arena,90,,,10,,,,,,,,,
!win-arena-10,win-arena,10,15,2500,win-arena,100,,,10,,,,,,,,,
!win-arena-11,win-arena,11,15,3000,win-arena,110,,,10,,,,,,,,,
!win-arena-12,win-arena,12,15,3500,win-arena,120,,,10,,,,,,,,,
!win-arena-13,win-arena,13,15,4000,win-arena,130,,,10,,,,,,,,,
!win-arena-14,win-arena,14,15,4500,win-arena,140,,,10,,,,,,,,,
!win-arena-15,win-arena,15,15,5000,win-arena,150,,,10,,,,,,,,,
!win-arena-16,win-arena,16,15,5500,win-arena,160,,,10,,,,,,,,,
!win-arena-17,win-arena,17,15,6000,win-arena,170,,,10,,,,,,,,,
!win-arena-18,win-arena,18,15,6500,win-arena,180,,,10,,,,,,,,,
!win-arena-19,win-arena,19,15,7000,win-arena,190,,,10,,,,,,,,,
!win-arena-20,win-arena,20,15,7500,win-arena,200,,,10,,,,,,,,,
!win-arena-21,win-arena,21,15,8000,win-arena,210,,,10,,,,,,,,,
!win-arena-22,win-arena,22,15,8500,win-arena,220,,,10,,,,,,,,,
!win-arena-23,win-arena,23,15,9000,win-arena,230,,,10,,,,,,,,,
!win-arena-24,win-arena,24,15,9500,win-arena,240,,,10,,,,,,,,,
!win-arena-25,win-arena,25,15,10000,win-arena,250,,,10,,,,,,,,,
!arena-serial-win-1,arena-serial-win,1,15,3,arena-serial-win,10,,,10,,,,,,,,,
!arena-serial-win-2,arena-serial-win,2,15,5,arena-serial-win,20,,,10,,,,,,,,,
!arena-serial-win-3,arena-serial-win,3,15,10,arena-serial-win,30,,,10,,,,,,CgkI2ZO3uPMQEAIQAA,,arena10,
!arena-serial-win-4,arena-serial-win,4,15,25,arena-serial-win,40,,,10,,,,,,,,,
!arena-serial-win-5,arena-serial-win,5,15,50,arena-serial-win,50,,,10,,,,,,,,,
!arena-serial-win-6,arena-serial-win,6,15,75,arena-serial-win,60,,,10,,,,,,,,,
!arena-serial-win-7,arena-serial-win,7,15,100,arena-serial-win,70,,,10,,,,,,,,,
!arena-serial-win-8,arena-serial-win,8,15,150,arena-serial-win,80,,,10,,,,,,,,,
!arena-serial-win-9,arena-serial-win,9,15,200,arena-serial-win,90,,,10,,,,,,,,,
!arena-serial-win-10,arena-serial-win,10,15,250,arena-serial-win,100,,,10,,,,,,,,,
!arena-serial-win-11,arena-serial-win,11,15,300,arena-serial-win,110,,,10,,,,,,,,,
!arena-serial-win-12,arena-serial-win,12,15,350,arena-serial-win,120,,,10,,,,,,,,,
!arena-serial-win-13,arena-serial-win,13,15,400,arena-serial-win,130,,,10,,,,,,,,,
!arena-serial-win-14,arena-serial-win,14,15,450,arena-serial-win,140,,,10,,,,,,,,,
!arena-serial-win-15,arena-serial-win,15,15,500,arena-serial-win,150,,,10,,,,,,,,,
!arena-serial-win-16,arena-serial-win,16,15,600,arena-serial-win,160,,,20,,,,,,,,,
!arena-serial-win-17,arena-serial-win,17,15,700,arena-serial-win,170,,,20,,,,,,,,,
!arena-serial-win-18,arena-serial-win,18,15,800,arena-serial-win,180,,,20,,,,,,,,,
!arena-serial-win-19,arena-serial-win,19,15,900,arena-serial-win,190,,,20,,,,,,,,,
!arena-serial-win-20,arena-serial-win,20,15,1000,arena-serial-win,200,,,20,,,,,,,,,
!arena-serial-win-21,arena-serial-win,21,15,1100,arena-serial-win,210,,,20,,,,,,,,,
!arena-serial-win-22,arena-serial-win,22,15,1200,arena-serial-win,220,,,20,,,,,,,,,
!arena-serial-win-23,arena-serial-win,23,15,1300,arena-serial-win,230,,,20,,,,,,,,,
!arena-serial-win-24,arena-serial-win,24,15,1400,arena-serial-win,240,,,20,,,,,,,,,
!arena-serial-win-25,arena-serial-win,25,15,1500,arena-serial-win,250,,,20,,,,,,,,,
!win-ladder-1,win-ladder,1,20,10,win-ladder,10,,,10,,,,,,,,,
!win-ladder-2,win-ladder,2,20,50,win-ladder,20,,,10,,,,,,,,,
!win-ladder-3,win-ladder,3,20,100,win-ladder,30,,,10,,,,,,,,,
!win-ladder-4,win-ladder,4,20,200,win-ladder,40,,,10,,,,,,,,,
!win-ladder-5,win-ladder,5,20,300,win-ladder,50,,,10,,,,,,,,,
!win-ladder-6,win-ladder,6,20,400,win-ladder,60,,,10,,,,,,,,,
!win-ladder-7,win-ladder,7,20,500,win-ladder,70,,,10,,,,,,,,,
!win-ladder-8,win-ladder,8,20,600,win-ladder,80,,,10,,,,,,,,,
!win-ladder-9,win-ladder,9,20,700,win-ladder,90,,,10,,,,,,,,,
!win-ladder-10,win-ladder,10,20,800,win-ladder,100,,,10,,,,,,,,,
!win-ladder-11,win-ladder,11,20,900,win-ladder,110,,,10,,,,,,,,,
!win-ladder-12,win-ladder,12,20,1000,win-ladder,120,,,10,,,,,,,,,
!win-ladder-13,win-ladder,13,20,1200,win-ladder,130,,,10,,,,,,,,,
!win-ladder-14,win-ladder,14,20,1400,win-ladder,140,,,10,,,,,,,,,
!win-ladder-15,win-ladder,15,20,1600,win-ladder,150,,,10,,,,,,,,,
!win-ladder-16,win-ladder,16,20,1800,win-ladder,160,,,10,,,,,,,,,
!win-ladder-17,win-ladder,17,20,2000,win-ladder,170,,,10,,,,,,,,,
!win-ladder-18,win-ladder,18,20,2200,win-ladder,180,,,10,,,,,,,,,
!win-ladder-19,win-ladder,19,20,2400,win-ladder,190,,,10,,,,,,,,,
!win-ladder-20,win-ladder,20,20,2600,win-ladder,200,,,10,,,,,,,,,
!win-ladder-21,win-ladder,21,20,2800,win-ladder,210,,,10,,,,,,,,,
!win-ladder-22,win-ladder,22,20,3000,win-ladder,220,,,10,,,,,,,,,
!win-ladder-23,win-ladder,23,20,3200,win-ladder,230,,,10,,,,,,,,,
!win-ladder-24,win-ladder,24,20,3400,win-ladder,240,,,10,,,,,,,,,
!win-ladder-25,win-ladder,25,20,3600,win-ladder,250,,,10,,,,,,,,,
!win-championship-1,win-championship,1,40,10,win-championship,10,,,100,,,,,,,,,
!win-championship-2,win-championship,2,40,50,win-championship,20,,,260,,,,,,,,,
!win-championship-3,win-championship,3,40,100,win-championship,30,,,270,,,,,,,,,
!win-championship-4,win-championship,4,40,250,win-championship,40,,,280,,,,,,,,,
!win-championship-5,win-championship,5,40,500,win-championship,50,,,290,,,,,,,,,
!win-championship-6,win-championship,6,40,750,win-championship,60,,,300,,,,,,,,,
!win-championship-7,win-championship,7,40,1000,win-championship,70,,,310,,,,,,,,,
!win-championship-8,win-championship,8,40,1500,win-championship,80,,,320,,,,,,,,,
!win-championship-9,win-championship,9,40,2000,win-championship,90,,,330,,,,,,,,,
!win-championship-10,win-championship,10,40,2500,win-championship,100,,,340,,,,,,,,,
!win-championship-11,win-championship,11,40,3000,win-championship,110,,,350,,,,,,,,,
!win-championship-12,win-championship,12,40,3500,win-championship,120,,,360,,,,,,,,,
!win-championship-13,win-championship,13,40,4000,win-championship,130,,,370,,,,,,,,,
!win-championship-14,win-championship,14,40,4500,win-championship,140,,,380,,,,,,,,,
!win-championship-15,win-championship,15,40,5000,win-championship,150,,,390,,,,,,,,,
!win-championship-16,win-championship,16,40,5500,win-championship,160,,,400,,,,,,,,,
!win-championship-17,win-championship,17,40,6000,win-championship,170,,,410,,,,,,,,,
!win-championship-18,win-championship,18,40,6500,win-championship,180,,,420,,,,,,,,,
!win-championship-19,win-championship,19,40,7000,win-championship,190,,,430,,,,,,,,,
!win-championship-20,win-championship,20,40,7500,win-championship,200,,,440,,,,,,,,,
!win-championship-21,win-championship,21,40,8000,win-championship,210,,,450,,,,,,,,,
!win-championship-22,win-championship,22,40,8500,win-championship,220,,,460,,,,,,,,,
!win-championship-23,win-championship,23,40,9000,win-championship,230,,,470,,,,,,,,,
!win-championship-24,win-championship,24,40,9500,win-championship,240,,,480,,,,,,,,,
!win-championship-25,win-championship,25,40,10000,win-championship,250,,,490,,,,,,,,,
!win-boss-1,win-boss,1,25,1,win-boss,10,,,10,,,,,,,0,,
!win-boss-2,win-boss,2,25,5,win-boss,20,,,10,,,,,,,0.2,,
!win-boss-3,win-boss,3,25,10,win-boss,30,,,10,,,,,,,0.2,,
!win-boss-4,win-boss,4,25,25,win-boss,40,,,10,,,,,,,1,boss25,
!win-boss-5,win-boss,5,25,50,win-boss,50,,,10,,,,,,,1,,
!win-boss-6,win-boss,6,25,100,win-boss,60,,,10,,,,,,,1,,
!win-boss-7,win-boss,7,25,200,win-boss,70,,,10,,,,,,,1,,
!win-boss-8,win-boss,8,25,300,win-boss,80,,,10,,,,,,,1,,
!win-boss-9,win-boss,9,25,400,win-boss,90,,,10,,,,,,,1,,
!win-boss-10,win-boss,10,25,500,win-boss,100,,,10,,,,,,,1,,
!win-boss-11,win-boss,11,25,600,win-boss,110,,,10,,,,,,,1,,
!win-boss-12,win-boss,12,25,700,win-boss,120,,,10,,,,,,,1,,
!win-boss-13,win-boss,13,25,800,win-boss,130,,,10,,,,,,,1,,
!win-boss-14,win-boss,14,25,900,win-boss,140,,,10,,,,,,,1,,
!win-boss-15,win-boss,15,25,1000,win-boss,150,,,10,,,,,,,1,,
!win-raid-1,win-raid,1,40,1,win-raid,10,,,10,,,,,,,,,
!win-raid-2,win-raid,2,40,10,win-raid,20,,,20,,,,,,,,,
!win-raid-3,win-raid,3,40,20,win-raid,30,,,30,,,,,,,,,
!win-raid-4,win-raid,4,40,30,win-raid,40,,,40,,,,,,,,,
!win-raid-5,win-raid,5,40,40,win-raid,50,,,50,,,,,,,,,
!win-raid-6,win-raid,6,40,50,win-raid,60,,,60,,,,,,,,,
!win-raid-7,win-raid,7,40,60,win-raid,70,,,70,,,,,,,,,
!win-raid-8,win-raid,8,40,70,win-raid,80,,,80,,,,,,,,,
!win-raid-9,win-raid,9,40,80,win-raid,90,,,90,,,,,,,,,
!win-raid-10,win-raid,10,40,90,win-raid,100,,,100,,,,,,,,,
!win-raid-11,win-raid,11,40,100,win-raid,110,,,110,,,,,,,,,
!win-raid-12,win-raid,12,40,110,win-raid,120,,,120,,,,,,,,,
!win-raid-13,win-raid,13,40,120,win-raid,130,,,130,,,,,,,,,
!win-raid-14,win-raid,14,40,130,win-raid,140,,,140,,,,,,,,,
!win-raid-15,win-raid,15,40,140,win-raid,150,,,150,,,,,,,,,
!win-raid-16,win-raid,16,40,150,win-raid,160,,,160,,,,,,,,,
!win-crusade-1,win-crusade,1,30,10,win-crusade,10,,,10,,,,,,CgkI2ZO3uPMQEAIQBQ,,,
!win-crusade-2,win-crusade,2,30,50,win-crusade,20,,,10,,,,,,,,,
!win-crusade-3,win-crusade,3,30,100,win-crusade,30,,,10,,,,,,,,crusade100,
!win-crusade-4,win-crusade,4,30,250,win-crusade,40,,,10,,,,,,,,,
!win-crusade-5,win-crusade,5,30,500,win-crusade,50,,,10,,,,,,,,,
!win-crusade-6,win-crusade,6,30,750,win-crusade,60,,,10,,,,,,,,,
!win-crusade-7,win-crusade,7,30,1000,win-crusade,70,,,10,,,,,,,,,
!win-crusade-8,win-crusade,8,30,1500,win-crusade,80,,,10,,,,,,,,,
!win-crusade-9,win-crusade,9,30,2000,win-crusade,90,,,10,,,,,,,,,
!win-crusade-10,win-crusade,10,30,2500,win-crusade,100,,,10,,,,,,,,,
!win-crusade-11,win-crusade,11,30,3000,win-crusade,110,,,10,,,,,,,,,
!win-crusade-12,win-crusade,12,30,3500,win-crusade,120,,,10,,,,,,,,,
!win-crusade-13,win-crusade,13,30,4000,win-crusade,130,,,10,,,,,,,,,
!win-crusade-14,win-crusade,14,30,4500,win-crusade,140,,,10,,,,,,,,,
!win-crusade-15,win-crusade,15,30,5000,win-crusade,150,,,10,,,,,,,,,
!win-crusade-16,win-crusade,16,30,5500,win-crusade,160,,,10,,,,,,,,,
!win-crusade-17,win-crusade,17,30,6000,win-crusade,170,,,10,,,,,,,,,
!win-crusade-18,win-crusade,18,30,6500,win-crusade,180,,,10,,,,,,,,,
!win-crusade-19,win-crusade,19,30,7000,win-crusade,190,,,10,,,,,,,,,
